S1	S2	S3
134	129	140
12	10	13
56	56	65
84	69	61
83	72	73
14	13	7
12	6	9
127	98	101
60	47	38
64	45	40
30	18	16
5	7	8
97	81	81
1048	892	1004
226	189	199
20	9	15
10	7	7
16	6	12
10	2	8
14	6	14
10	11	9
9	4	6
71	69	66
10	7	17
419	369	347
25	18	21
46	38	45
53	39	48
15	12	13
152	113	118
0	1	1
4	7	5
27	32	46
1	1	0
105	106	100
98	85	109
0	0	0
0	1	0
4	3	5
5	8	11
81	59	73
22	12	14
126	99	98
6	3	6
0	0	1
4	2	4
1779	1416	1646
730	648	723
8	3	6
36	21	43
4	5	4
32	34	40
5	8	5
131	108	137
30	21	42
11	10	9
69	72	75
23	34	31
31	22	39
3	1	1
21	14	18
26	25	26
11	15	23
205	154	170
53	45	48
120	118	105
16	21	17
8	10	6
65	69	58
3	3	5
47	41	45
4	4	5
0	1	0
3	0	5
389	268	356
241	203	236
23	20	17
0	0	0
50	53	65
5	2	1
2	4	0
743	574	624
91	71	68
67	83	70
27	32	27
0	0	0
220	124	167
60	86	69
54	62	57
1201	1040	1127
96	68	75
44	38	33
36	34	31
167	127	163
166	167	170
9	7	7
21	22	20
3	5	6
83	79	69
114	106	115
61	50	57
136	144	139
40	41	41
179	132	143
210	192	226
19	11	16
2015	1719	1924
1	2	3
90	65	78
160	139	140
112	91	119
20	16	16
221	165	197
17	15	13
341	316	335
227	191	214
202	167	202
142	152	171
81	74	61
1	2	3
66	45	60
44	27	33
343	260	263
3	0	5
36	32	26
13	19	20
104	81	92
11	11	16
5	1	4
5	1	5
6	12	6
1	2	7
378	333	327
1	1	0
5	10	1
2	2	3
5	9	2
1	0	0
0	1	0
0	1	0
2	2	6
0	1	1
1	0	4
993	759	863
1357	1238	1442
123	88	83
69	46	53
19	20	19
108	68	89
172	149	120
15	9	17
1	2	2
8	2	9
25	16	21
32	25	35
17	10	26
40	32	27
198	138	155
251	218	240
99	96	105
412	301	383
34	22	32
17	9	14
29	23	24
78	79	79
632	491	571
6	0	1
162	136	162
107	78	90
176	155	165
167	149	207
205	154	156
66	39	44
2	2	9
28	17	27
6	3	4
85	76	84
26	18	23
5	2	4
3	4	2
29	20	19
436	342	414
69	65	67
190	138	168
73	75	62
4	1	4
5	5	1
189	181	197
49	44	48
16	13	12
2	1	4
0	0	0
28	20	28
86	69	106
41	35	57
295	248	279
381	290	325
17	16	18
55	55	51
52	28	40
41	42	41
24	18	21
10	13	4
13	17	21
21	17	19
6	5	7
7	7	6
3	6	4
15	21	27
19	12	9
3	5	4
7	10	11
17	13	10
32	28	23
1	1	0
3	0	3
16	14	15
85	59	68
201	179	166
41	26	30
3	2	5
153	126	149
253	255	287
232	175	175
350	295	352
344	301	287
865	700	841
908	808	891
4	4	3
563	435	477
31	23	30
54	24	37
29	26	27
28	23	35
8	7	4
48	48	59
6	6	9
46	70	78
49	23	38
14	7	10
77	67	69
88	73	67
0	1	0
24	21	24
3	1	2
0	0	0
0	0	1
2	1	0
5	1	5
15	6	10
37	27	30
13	18	7
19	15	7
20	21	14
18	17	17
76	76	83
129	105	112
12	16	12
9	2	8
10	5	7
12	9	8
47	36	26
88	71	86
48	36	36
24	33	39
64	43	57
143	146	168
0	0	1
12	6	14
1	2	0
125	84	92
172	141	155
45	31	26
132	94	106
3	0	1
2	0	1
3	4	13
29	18	18
39	22	31
6	3	7
15	16	17
116	97	121
33	22	24
606	503	552
10	13	15
74	56	65
64	39	40
42	28	38
17	11	14
1	3	5
64	38	40
42	27	39
1	2	1
49	52	75
37	23	27
80	70	70
27	29	28
152	101	107
71	58	59
65	43	51
19	13	12
47	34	27
389	308	334
266	228	262
575	435	559
1	2	0
7	10	12
11	8	13
10	3	6
28	15	27
57	29	65
65	66	63
384	288	339
13	9	20
39	33	33
321	266	316
36	30	51
9	17	23
62	56	57
353	250	285
208	159	170
774	556	612
23	31	32
26	28	34
66	59	72
9	14	14
3	2	5
7	4	6
19	16	13
8	5	5
20	14	12
664	560	665
578	507	479
408	323	350
23	17	14
32	24	27
10	2	8
4670	3730	4169
345	279	314
34	30	36
36	33	28
25	18	19
36	37	35
78	72	77
25	14	18
236	203	240
20	10	11
34	36	31
23	13	20
172	154	174
9	13	5
384	271	324
30	20	23
4	2	3
2	1	1
5	5	10
32	30	32
11	15	21
55	66	63
27	19	19
16	9	13
23	31	26
16	7	7
134	89	113
38	29	30
116	84	73
15	12	6
527	420	491
87	57	81
2	5	1
1	2	1
4	7	5
1	1	3
3	0	3
5	3	2
0	2	0
153	132	144
9	10	10
0	1	3
31	30	29
19	8	10
16	3	9
19	19	12
10	9	9
6	2	7
1	2	3
21	13	15
22	18	18
105	76	111
62	44	58
1	1	2
135	130	115
16	20	19
356	268	276
125	87	92
2	3	7
9	8	22
620	485	555
67	54	66
7	1	5
17	16	25
1	2	0
7	2	7
1	0	2
2	1	8
0	2	0
5	3	1
14	9	11
45	35	47
82	66	65
4	6	6
194	174	199
52	22	44
100	65	76
127	93	105
60	37	52
154	126	139
150	99	128
73	51	70
77	51	72
4	2	6
1	2	1
126	108	119
89	62	87
8	4	6
243	202	226
34	17	26
42	18	32
9	20	15
208	153	180
188	141	178
143	115	100
29	25	54
845	729	882
48	29	30
1	4	5
26	24	31
7	11	7
0	0	0
4	0	2
362	339	381
0	0	0
0	1	0
0	1	0
0	3	0
0	1	0
4	3	0
175	176	183
34	37	29
4	3	2
86	89	93
1	0	2
38	33	37
292	230	247
378	327	321
69	48	40
5	5	0
270	166	211
5	5	5
46	22	47
23	24	27
18	18	17
22	16	19
0	0	0
2	3	2
25	15	19
16	22	16
23	26	20
70	52	53
20	11	11
140	117	120
132	87	136
2	2	1
175	139	157
221	153	232
145	122	144
181	143	180
253	220	221
0	1	2
1	2	1
2	2	4
1	1	1
15	5	12
22	20	31
50	49	43
266	240	282
255	205	227
53	37	33
84	82	80
173	111	119
1	2	4
4	3	4
26	21	32
14	13	8
0	0	0
4	4	1
14	8	14
2	0	0
1	1	3
52	37	47
35	26	37
35	15	22
167	163	155
371	252	264
121	82	112
52	36	30
32	24	22
45	36	48
30	28	36
28	18	19
0	0	0
2	3	0
19	8	10
54	52	59
30	28	26
108	93	98
16	16	25
14	19	14
42	58	39
49	38	32
33	44	37
33	44	37
18	8	13
47	46	55
3	1	1
221	186	193
400	337	369
1538	1356	1469
153	139	124
32	28	28
725	488	669
641	473	594
718	614	727
83	69	53
1214	1018	1067
117	114	134
371	288	331
589	509	597
992	784	941
57	29	43
41	35	37
192	171	207
14	10	11
17	15	8
7	2	6
399	303	332
1	0	0
3	3	9
6	4	6
8	4	2
8	4	7
186	155	187
294	273	295
120	93	102
289	235	251
4	1	5
174	140	140
79	74	80
31	23	29
3	1	5
5	10	3
235	202	190
98	80	83
309	230	265
247	258	262
12	14	7
1	2	2
3	2	6
2	0	1
11	12	12
94	62	81
473	440	428
0	0	0
0	0	0
0	1	0
0	0	0
1	0	0
0	0	1
0	0	0
0	0	0
3	1	0
1	4	5
3	2	0
0	0	0
3	2	2
7	6	0
5	4	4
5	10	6
2	5	4
6	4	8
1	1	1
