S1	S2	S3
65	67	46
1409	1384	1253
116	116	79
62	64	63
64	57	59
230	273	223
233	225	231
11	6	10
13	14	17
6	1	3
41	41	33
44	63	36
15	17	16
73	65	77
21	12	14
214	208	181
499	513	354
53	56	36
1406	1432	1291
4	5	2
105	79	90
227	218	218
116	136	118
35	32	35
138	114	129
23	7	8
264	252	225
261	257	245
263	240	210
115	99	104
254	260	232
7	4	1
93	120	73
53	57	57
356	346	341
9	5	4
64	59	57
29	33	35
285	311	257
53	59	28
1	1	1
5	5	2
32	17	24
18	18	17
868	1024	862
2	1	1
5	9	2
5	4	7
11	4	13
2	2	0
2	2	0
4	3	4
27	16	27
8	5	8
0	7	4
1295	1183	1109
1874	1717	1704
123	124	99
89	108	79
33	19	34
202	201	190
255	316	249
24	22	33
4	7	3
14	9	9
23	21	22
50	39	43
32	28	26
47	48	29
166	167	137
306	328	252
119	122	121
726	723	623
34	41	30
16	16	24
31	23	27
111	98	91
1085	1181	991
9	4	3
403	444	339
119	102	111
429	483	428
239	217	185
191	203	216
138	130	115
12	7	11
36	48	33
9	12	16
245	249	215
84	100	86
10	14	6
9	7	0
27	23	30
562	508	507
55	59	63
506	506	441
164	178	158
15	6	7
6	8	9
176	186	157
71	59	45
6	5	4
7	6	5
1	2	2
34	34	44
184	220	170
65	80	62
240	242	227
270	275	245
15	18	16
70	53	45
31	16	29
43	55	31
89	82	56
22	18	14
58	52	56
32	50	36
12	13	16
20	19	18
5	12	7
77	57	54
38	28	36
9	8	14
23	22	19
50	30	41
85	75	73
1	2	2
5	5	3
26	31	24
212	221	224
435	404	464
66	52	51
5	5	5
179	211	162
200	215	197
155	126	136
2275	2425	2016
1826	1905	1592
896	870	828
880	858	825
9	4	6
1410	1523	1223
67	71	63
44	40	44
58	67	46
51	44	23
26	23	19
58	48	47
8	4	6
77	49	54
23	26	9
5	11	2
169	136	124
178	136	144
1	1	0
54	53	48
4	2	3
2	3	0
2	0	1
1	3	2
1	3	1
31	25	29
42	42	48
21	26	23
19	22	14
14	18	14
14	13	17
99	131	97
288	285	282
32	30	24
14	12	2
20	8	15
25	24	15
88	87	65
95	77	78
34	26	40
20	20	22
48	34	52
326	370	326
4	3	2
31	31	27
3	4	3
122	152	122
200	237	163
112	91	105
302	376	279
9	5	5
1	0	4
31	32	27
68	68	67
246	272	260
2	4	3
73	65	65
158	127	121
49	66	54
302	274	267
33	22	22
92	87	104
232	219	179
107	94	81
16	23	12
0	1	2
232	216	178
108	93	78
9	3	4
91	96	91
47	48	57
138	155	122
36	27	26
150	138	169
50	60	61
87	115	97
30	25	25
73	54	48
644	684	519
347	379	312
835	693	721
0	3	1
40	36	28
50	76	62
22	32	21
25	33	29
86	97	90
81	56	64
248	256	217
19	27	23
64	40	39
305	306	301
32	39	44
42	43	35
180	174	134
422	465	427
237	270	222
1251	1273	1169
90	79	68
51	53	40
148	174	128
47	54	35
13	11	9
9	6	6
7	9	17
9	6	6
36	45	46
1372	1464	1086
650	690	633
411	401	326
32	18	25
42	53	39
10	22	12
6451	6218	5518
414	381	416
45	52	49
50	75	49
53	51	47
42	47	40
70	80	78
20	30	26
331	344	288
13	18	12
33	29	20
19	31	27
324	345	332
13	16	11
644	554	620
23	22	17
9	11	8
5	3	3
10	20	8
70	70	55
18	33	30
108	132	96
62	67	73
19	23	20
73	58	58
30	31	21
346	408	347
98	104	88
214	195	191
17	16	14
427	401	370
140	163	119
3	8	10
7	3	6
13	15	13
1	0	0
1	2	0
2	1	1
1	4	2
157	129	134
3	4	1
0	0	0
70	90	71
26	27	22
24	17	18
58	50	46
13	9	7
16	17	13
7	5	3
50	45	36
13	13	11
147	175	140
57	64	91
9	9	7
625	728	569
103	86	72
863	820	794
240	213	192
11	9	8
25	20	13
2110	2344	1846
83	66	64
55	35	27
111	70	98
12	18	17
7	4	4
3	4	3
10	18	9
2	1	1
9	2	8
27	24	27
49	61	54
81	90	81
14	13	14
225	233	201
49	43	36
53	53	41
94	81	62
44	33	22
107	100	92
120	110	83
55	65	65
139	154	108
4	7	7
2	0	0
206	166	144
70	72	56
24	21	15
386	379	335
42	57	48
57	38	42
27	22	16
318	275	270
125	135	101
68	71	81
53	63	44
843	907	777
97	83	73
3	8	4
42	57	49
9	10	6
3	0	2
4	7	8
420	422	408
0	2	0
2	5	4
4	4	6
2	0	3
3	4	0
6	3	3
269	319	232
72	75	60
8	13	7
127	137	102
1	6	1
57	64	67
785	867	773
1080	1129	988
82	91	81
10	9	10
416	444	407
10	12	3
38	20	41
29	17	20
62	80	48
68	74	56
0	0	0
8	4	10
36	38	33
33	48	43
40	32	34
114	87	96
38	38	32
242	217	198
133	124	137
9	4	9
273	256	233
230	222	212
233	253	219
273	267	261
287	253	270
1	2	2
4	1	0
4	4	2
0	2	2
23	17	16
55	57	54
32	44	37
301	316	256
253	291	257
19	38	29
95	92	82
142	184	155
4	5	3
3	7	7
37	53	37
17	21	17
1	3	1
15	7	13
48	49	22
3	4	0
12	9	7
67	69	67
42	33	32
74	44	55
487	478	413
1117	1084	1017
288	244	267
84	81	113
49	62	67
103	99	109
35	29	31
41	52	27
0	0	0
59	79	42
121	159	86
597	638	588
231	256	217
184	146	140
62	103	83
65	59	47
83	84	99
111	113	76
119	146	117
119	146	117
26	27	12
29	33	33
2	1	0
207	185	169
685	599	675
2787	2817	2590
333	368	291
37	49	46
345	351	304
240	207	221
714	653	639
103	104	97
2340	2420	2071
164	176	138
194	209	179
283	301	311
753	740	698
99	94	86
42	30	27
261	244	228
13	14	18
9	7	15
4	4	7
467	469	434
1	2	0
7	4	4
6	5	4
9	7	10
17	13	19
306	268	244
428	382	346
116	122	111
495	537	418
9	9	7
147	140	99
62	56	52
48	55	38
4	6	6
10	19	11
408	464	352
74	86	90
333	297	279
343	265	266
8	9	12
5	7	4
2	3	5
0	2	0
9	13	11
88	76	78
747	810	740
0	0	0
0	1	3
1	0	0
1	0	0
0	1	1
0	3	1
1	2	0
0	1	1
15	23	14
15	2	12
2	2	1
2	1	1
10	4	5
23	15	16
15	11	6
18	20	16
8	10	11
10	12	7
4	4	2
39	34	19
3	7	7
516	533	497
438	438	421
813	663	690
2522	2379	2346
59	49	52
599	586	551
378	370	345
114	105	90
52	56	24
45	39	26
490	451	442
50	44	38
135	113	119
13	13	13
